<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL_PB,D,20150507,000000,3.5183,3.5183,3.5183,3.5183,0,0
WPL_PB,D,20150508,000000,3.5748,3.5748,3.5183,3.5278,0,0
WPL_PB,D,20150511,000000,3.5654,3.5654,3.5183,3.5183,0,0
WPL_PB,D,20150512,000000,3.5278,3.5278,3.4995,3.4995,0,0
WPL_PB,D,20150513,000000,3.4995,3.5089,3.4428,3.4428,0,0
WPL_PB,D,20150514,000000,3.4522,3.4995,3.4146,3.4995,0,0
WPL_PB,D,20150515,000000,3.4617,3.5372,3.4617,3.5372,0,0
WPL_PB,D,20150518,000000,3.5466,3.5654,3.4995,3.4995,0,0
WPL_PB,D,20150519,000000,3.4806,3.4995,3.4806,3.49,0,0
WPL_PB,D,20150520,000000,3.49,3.556,3.49,3.49,0,0
WPL_PB,D,20150521,000000,3.5654,3.5654,3.5183,3.5183,0,0
WPL_PB,D,20150522,000000,3.49,3.5654,3.4712,3.4712,0,0
WPL_PB,D,20150525,000000,3.5278,3.5278,3.5278,3.5278,0,0
WPL_PB,D,20150526,000000,3.4806,3.4806,3.4806,3.4806,0,0
WPL_PB,D,20150527,000000,3.4428,3.9334,3.4428,3.9334,0,0
WPL_PB,D,20150528,000000,3.9239,3.9427,3.9051,3.9334,0,0
WPL_PB,D,20150529,000000,3.8956,3.9521,3.8956,3.9334,0,0
WPL_PB,D,20150601,000000,3.9239,3.9427,3.9051,3.9334,0,0
WPL_PB,D,20150602,000000,3.9239,3.9334,3.9051,3.9334,0,0
WPL_PB,D,20150603,000000,3.9051,3.9334,3.9051,3.9239,0,0
WPL_PB,D,20150605,000000,3.9239,3.9239,3.9145,3.9145,0,0
WPL_PB,D,20150608,000000,3.9145,3.9334,3.9145,3.9334,0,0
WPL_PB,D,20150609,000000,3.9145,3.9145,3.9145,3.9145,0,0
WPL_PB,D,20150610,000000,3.9145,3.9239,3.9051,3.9145,0,0
WPL_PB,D,20150611,000000,3.9239,3.9239,3.9051,3.9051,0,0
WPL_PB,D,20150612,000000,3.9239,3.9239,3.9051,3.9051,0,0
WPL_PB,D,20150615,000000,3.9334,3.9334,3.9145,3.9145,0,0
WPL_PB,D,20150616,000000,3.9145,3.9334,3.9051,3.9334,0,0
WPL_PB,D,20150617,000000,3.9334,3.9334,3.9239,3.9239,0,0
WPL_PB,D,20150618,000000,3.9334,3.9427,3.9334,3.9334,0,0
WPL_PB,D,20150619,000000,3.9334,3.9521,3.9051,3.9051,0,0
WPL_PB,D,20150622,000000,3.9051,3.9239,3.9051,3.9145,0,0
WPL_PB,D,20150623,000000,3.9334,3.9334,3.9145,3.9145,0,0
WPL_PB,D,20150624,000000,3.9145,3.9521,3.9145,3.9334,0,0
WPL_PB,D,20150625,000000,3.9239,3.9334,3.9239,3.9239,0,0
WPL_PB,D,20150626,000000,3.9145,3.9145,3.9051,3.9145,0,0
WPL_PB,D,20150629,000000,3.8485,3.8485,3.6409,3.8107,0,0
WPL_PB,D,20150630,000000,3.7919,3.8107,3.7919,3.8107,0,0
WPL_PB,D,20150701,000000,3.8107,3.9427,3.8107,3.9427,0,0
WPL_PB,D,20150702,000000,3.9427,3.9521,3.8673,3.9427,0,0
WPL_PB,D,20150703,000000,3.9427,3.9521,3.8673,3.9051,0,0
WPL_PB,D,20150706,000000,3.8768,3.9521,3.8485,3.9521,0,0
WPL_PB,D,20150707,000000,3.9051,3.9239,3.9051,3.9051,0,0
WPL_PB,D,20150708,000000,3.9334,3.9334,3.9051,3.9051,0,0
WPL_PB,D,20150709,000000,3.9145,3.9145,3.8673,3.9051,0,0
WPL_PB,D,20150710,000000,3.9051,3.9334,3.8956,3.9051,0,0
WPL_PB,D,20150713,000000,3.9239,3.9239,3.8485,3.8768,0,0
WPL_PB,D,20150714,000000,3.8862,3.8862,3.8485,3.8768,0,0
WPL_PB,D,20150715,000000,3.8768,3.9145,3.8768,3.9145,0,0
WPL_PB,D,20150716,000000,3.9239,4.0653,3.9145,4.0371,0,0
WPL_PB,D,20150717,000000,4.0183,4.1409,4.0183,4.1409,0,0
WPL_PB,D,20150720,000000,4.1314,4.1314,4.0936,4.1314,0,0
WPL_PB,D,20150721,000000,4.1314,4.1692,4.0936,4.1692,0,0
WPL_PB,D,20150722,000000,4.1786,4.1786,4.1503,4.1786,0,0
WPL_PB,D,20150723,000000,4.1597,4.1786,4.1409,4.1503,0,0
WPL_PB,D,20150724,000000,4.1786,4.1879,4.1597,4.1879,0,0
WPL_PB,D,20150727,000000,4.2068,4.2068,4.1597,4.1692,0,0
WPL_PB,D,20150728,000000,4.1692,4.2068,4.1692,4.1879,0,0
WPL_PB,D,20150729,000000,4.1879,4.2068,4.1879,4.1879,0,0
WPL_PB,D,20150730,000000,4.1879,4.1879,4.1879,4.1879,0,0
WPL_PB,D,20150731,000000,4.1879,4.2541,4.1879,4.2541,0,0
