<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC_PB,D,20070813,000000,2.6177,2.6177,2.6177,2.6177,0,0
ZWC_PB,D,20070814,000000,3.0989,3.0989,3.0989,3.0989,0,0
ZWC_PB,D,20070816,000000,2.9432,2.9432,2.9432,2.9432,0,0
ZWC_PB,D,20070817,000000,3.0705,3.0705,3.0705,3.0705,0,0
ZWC_PB,D,20070820,000000,3.0989,3.0989,3.0989,3.0989,0,0
ZWC_PB,D,20070821,000000,3.0989,3.0989,3.0989,3.0989,0,0
ZWC_PB,D,20070822,000000,3.014,3.014,3.014,3.014,0,0
ZWC_PB,D,20070823,000000,3.0989,3.0989,3.0989,3.0989,0,0
ZWC_PB,D,20070824,000000,3.1083,3.1083,3.1083,3.1083,0,0
ZWC_PB,D,20070827,000000,3.3017,3.3017,3.3017,3.3017,0,0
ZWC_PB,D,20070828,000000,3.2639,3.2639,3.2639,3.2639,0,0
ZWC_PB,D,20070829,000000,3.311,3.311,3.311,3.311,0,0
ZWC_PB,D,20070830,000000,3.5942,3.5942,3.5942,3.5942,0,0
ZWC_PB,D,20070831,000000,3.8818,3.8818,3.8818,3.8818,0,0
ZWC_PB,D,20070903,000000,4.113,4.113,4.113,4.113,0,0
ZWC_PB,D,20070904,000000,4.1979,4.1979,4.1979,4.1979,0,0
ZWC_PB,D,20070905,000000,3.8818,3.8818,3.8818,3.8818,0,0
ZWC_PB,D,20070906,000000,3.7922,3.7922,3.7922,3.7922,0,0
ZWC_PB,D,20070907,000000,3.7686,3.7686,3.7686,3.7686,0,0
ZWC_PB,D,20070910,000000,3.726,3.726,3.726,3.726,0,0
ZWC_PB,D,20070911,000000,3.8252,3.8252,3.8252,3.8252,0,0
ZWC_PB,D,20070912,000000,3.7686,3.7686,3.7686,3.7686,0,0
ZWC_PB,D,20070913,000000,3.7686,3.7686,3.7686,3.7686,0,0
ZWC_PB,D,20070914,000000,3.6885,3.6885,3.6885,3.6885,0,0
ZWC_PB,D,20070917,000000,3.6694,3.6694,3.6694,3.6694,0,0
ZWC_PB,D,20070918,000000,3.6509,3.6509,3.6509,3.6509,0,0
ZWC_PB,D,20070919,000000,3.6743,3.6743,3.6743,3.6743,0,0
ZWC_PB,D,20070920,000000,3.7733,3.7733,3.7733,3.7733,0,0
ZWC_PB,D,20070921,000000,3.8818,3.8818,3.8818,3.8818,0,0
ZWC_PB,D,20070924,000000,3.8818,3.8818,3.8818,3.8818,0,0
ZWC_PB,D,20070925,000000,3.9102,3.9102,3.9102,3.9102,0,0
ZWC_PB,D,20070926,000000,3.9619,3.9619,3.9619,3.9619,0,0
ZWC_PB,D,20070927,000000,3.9102,3.9102,3.9102,3.9102,0,0
ZWC_PB,D,20070928,000000,3.844,3.844,3.844,3.844,0,0
ZWC_PB,D,20071001,000000,3.7356,3.7356,3.7356,3.7356,0,0
ZWC_PB,D,20071002,000000,3.7922,3.7922,3.7922,3.7922,0,0
ZWC_PB,D,20071003,000000,3.9102,3.9102,3.9102,3.9102,0,0
ZWC_PB,D,20071004,000000,3.9102,3.9102,3.9102,3.9102,0,0
ZWC_PB,D,20071005,000000,3.8534,3.8534,3.8534,3.8534,0,0
ZWC_PB,D,20071008,000000,3.7922,3.7922,3.7922,3.7922,0,0
ZWC_PB,D,20071009,000000,3.8489,3.8489,3.8489,3.8489,0,0
ZWC_PB,D,20071010,000000,3.7356,3.7356,3.7356,3.7356,0,0
ZWC_PB,D,20071011,000000,3.7875,3.7875,3.7875,3.7875,0,0
ZWC_PB,D,20071012,000000,3.7686,3.7686,3.7686,3.7686,0,0
ZWC_PB,D,20071015,000000,3.7875,3.7875,3.7875,3.7875,0,0
ZWC_PB,D,20071016,000000,3.7356,3.7356,3.7356,3.7356,0,0
