<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL,D,20070629,000000,4.4675,4.5893,4.1019,4.1019,18087251,0
DVL,D,20070702,000000,4.1697,4.1697,3.6823,3.9463,7394620,0
DVL,D,20070703,000000,4.0614,4.1561,4.0274,4.0748,6047295,0
DVL,D,20070704,000000,4.129,4.2103,4.0816,4.129,2322310,0
DVL,D,20070705,000000,4.1764,4.1764,4.0274,4.1019,1853164,0
DVL,D,20070706,000000,4.1155,4.1222,4.0478,4.0546,690483,0
DVL,D,20070709,000000,4.0681,4.0681,3.8922,3.9191,1148111,0
DVL,D,20070710,000000,3.9056,3.9259,3.7431,3.7771,2272157,0
DVL,D,20070711,000000,3.7906,3.7906,3.5875,3.6619,1662109,0
DVL,D,20070712,000000,3.6146,3.7094,3.5875,3.6484,1080958,0
DVL,D,20070713,000000,3.6484,3.7771,3.6146,3.7567,1115102,0
DVL,D,20070716,000000,3.7703,3.8447,3.4589,3.6552,606892,0
DVL,D,20070717,000000,3.6282,3.6282,3.4792,3.5672,823305,0
DVL,D,20070718,000000,3.5875,3.5875,3.486,3.5063,1146554,0
DVL,D,20070719,000000,3.5198,3.8718,3.5198,3.8041,1969161,0
DVL,D,20070720,000000,3.8583,3.8583,3.689,3.7026,828451,0
DVL,D,20070723,000000,3.7026,3.7771,3.5875,3.6552,507577,0
DVL,D,20070724,000000,3.7364,3.7364,3.4995,3.5131,1318456,0
DVL,D,20070725,000000,3.3845,3.5063,3.2355,3.486,2171324,0
DVL,D,20070726,000000,3.486,3.5063,3.3709,3.3709,1289631,0
DVL,D,20070727,000000,3.2558,3.4183,3.2423,3.2491,1707642,0
DVL,D,20070730,000000,3.2829,3.3845,3.2829,3.3167,607588,0
DVL,D,20070731,000000,3.3776,3.486,3.3776,3.4183,1021251,0
DVL,D,20070801,000000,3.3845,3.3845,3.3032,3.3304,593667,0
DVL,D,20070802,000000,3.425,3.4453,3.2762,3.2762,1780632,0
DVL,D,20070803,000000,3.3371,3.3371,3.2355,3.2491,331944,0
DVL,D,20070806,000000,3.1814,3.1949,3.046,3.1137,879460,0
DVL,D,20070807,000000,3.1814,3.2085,2.8632,2.8632,1428091,0
DVL,D,20070808,000000,2.9173,3.0325,2.8632,2.8768,1981299,0
DVL,D,20070809,000000,2.9106,2.9106,2.6466,2.7211,3703940,0
DVL,D,20070810,000000,2.6128,2.6264,2.43,2.4706,3294309,0
DVL,D,20070813,000000,2.4706,2.8023,2.4706,2.7413,3229511,0
DVL,D,20070814,000000,2.7413,2.8294,2.7007,2.7007,3200206,0
DVL,D,20070816,000000,2.5654,2.5654,2.3149,2.4368,2295552,0
DVL,D,20070817,000000,2.43,2.7007,2.3962,2.6399,3563911,0
DVL,D,20070820,000000,2.7413,2.809,2.6399,2.6872,1076970,0
DVL,D,20070821,000000,2.7143,2.7143,2.5654,2.6737,963453,0
DVL,D,20070822,000000,2.7075,2.809,2.6466,2.7617,2961910,0
DVL,D,20070823,000000,2.8023,2.8835,2.7481,2.7685,2829116,0
DVL,D,20070824,000000,2.7752,2.8903,2.7211,2.8159,2030309,0
DVL,D,20070827,000000,2.8768,2.9783,2.8768,2.9039,1459925,0
DVL,D,20070828,000000,2.9039,2.9581,2.8564,2.9173,889559,0
DVL,D,20070829,000000,2.7481,2.9242,2.7413,2.9039,1048345,0
DVL,D,20070830,000000,2.9783,3.0189,2.694,2.7685,1985290,0
DVL,D,20070831,000000,2.8226,2.9106,2.8226,2.843,588645,0
DVL,D,20070903,000000,2.8564,2.8768,2.7752,2.843,386660,0
DVL,D,20070904,000000,2.843,2.843,2.7549,2.7888,622604,0
DVL,D,20070905,000000,2.7955,2.8023,2.6264,2.6264,1123701,0
DVL,D,20070906,000000,2.6602,2.6737,2.5586,2.6264,630375,0
DVL,D,20070907,000000,2.5992,2.6534,2.4977,2.5315,884838,0
DVL,D,20070910,000000,2.4706,2.5315,2.3962,2.4639,774709,0
DVL,D,20070911,000000,2.4842,2.5519,2.4773,2.5383,838484,0
DVL,D,20070912,000000,2.5654,2.5789,2.5045,2.518,344961,0
DVL,D,20070913,000000,2.4977,2.7211,2.4706,2.7007,1385499,0
DVL,D,20070914,000000,2.7007,2.7955,2.5586,2.5857,1488933,0
DVL,D,20070917,000000,2.5789,2.5857,2.5112,2.5654,549091,0
DVL,D,20070918,000000,2.5586,2.5654,2.5045,2.5586,1147678,0
DVL,D,20070919,000000,2.6534,2.6737,2.5992,2.6128,1156329,0
DVL,D,20070920,000000,2.606,2.6264,2.5586,2.5586,736679,0
DVL,D,20070921,000000,2.5586,2.6806,2.5586,2.5722,2093798,0
DVL,D,20070924,000000,2.5789,2.6264,2.5383,2.5519,569986,0
DVL,D,20070925,000000,2.5383,2.6737,2.5383,2.6602,1892427,0
DVL,D,20070926,000000,2.6737,3.2085,2.6399,3.0392,9903615,0
DVL,D,20070927,000000,3.073,3.1475,2.8768,2.8971,4501986,0
DVL,D,20070928,000000,2.8971,3.0325,2.809,2.843,2314174,0
DVL,D,20071001,000000,2.8362,2.8903,2.7481,2.8023,1123532,0
DVL,D,20071002,000000,2.8497,2.8835,2.7752,2.7955,1663590,0
DVL,D,20071003,000000,2.7955,2.809,2.7075,2.7211,1034123,0
DVL,D,20071004,000000,2.7007,2.8632,2.6806,2.7955,4417671,0
DVL,D,20071005,000000,2.8159,2.9039,2.7821,2.8768,3667499,0
DVL,D,20071008,000000,2.8971,2.9106,2.8294,2.8362,759580,0
DVL,D,20071009,000000,2.8362,2.9581,2.8362,2.8768,1250057,0
DVL,D,20071010,000000,2.9106,2.9106,2.8362,2.843,647558,0
DVL,D,20071011,000000,2.8497,2.8768,2.809,2.843,720232,0
DVL,D,20071012,000000,2.8362,2.8971,2.7821,2.8768,1680495,0
DVL,D,20071015,000000,2.8971,2.9783,2.8768,2.9242,1144875,0
DVL,D,20071016,000000,2.9106,2.9106,2.8497,2.8564,412882,0
DVL,D,20071017,000000,2.8497,2.9106,2.8497,2.9039,385681,0
DVL,D,20071018,000000,2.9039,2.9039,2.7752,2.8362,745446,0
DVL,D,20071019,000000,2.7752,2.843,2.7752,2.8226,1889842,0
DVL,D,20071022,000000,2.7549,2.8023,2.7211,2.7752,2193899,0
DVL,D,20071023,000000,2.7752,2.8294,2.7685,2.7821,721511,0
DVL,D,20071024,000000,2.7888,2.8023,2.7549,2.7752,1242963,0
DVL,D,20071025,000000,2.7888,2.7888,2.7549,2.7752,1201080,0
DVL,D,20071026,000000,2.7752,2.7955,2.7549,2.7685,530091,0
DVL,D,20071029,000000,2.7752,2.8564,2.7752,2.8362,799394,0
DVL,D,20071030,000000,2.8362,2.8362,2.7821,2.7955,157411,0
DVL,D,20071031,000000,2.7955,2.7955,2.7685,2.7888,173050,0
DVL,D,20071102,000000,2.7685,2.7685,2.7007,2.7347,743470,0
DVL,D,20071105,000000,2.7143,2.7211,2.6872,2.7007,331624,0
DVL,D,20071106,000000,2.6737,2.7075,2.6466,2.6872,187946,0
DVL,D,20071107,000000,2.7007,2.7143,2.4436,2.4436,1015116,0
DVL,D,20071108,000000,2.369,2.5383,2.2675,2.5045,1564051,0
DVL,D,20071109,000000,2.5112,2.6195,2.4368,2.5045,817154,0
DVL,D,20071112,000000,2.4368,2.5383,2.4368,2.5045,423686,0
DVL,D,20071113,000000,2.5248,2.5383,2.4368,2.4842,586218,0
DVL,D,20071114,000000,2.5789,2.6331,2.4977,2.5383,1251347,0
DVL,D,20071115,000000,2.5112,2.5586,2.3082,2.3895,1153181,0
DVL,D,20071116,000000,2.369,2.4097,2.2675,2.2879,1455012,0
DVL,D,20071119,000000,2.3285,2.3285,2.2202,2.2202,668524,0
DVL,D,20071120,000000,2.2066,2.2066,2.0442,2.0983,1468286,0
DVL,D,20071121,000000,2.0306,2.0646,1.9359,1.9833,1639560,0
DVL,D,20071122,000000,1.963,2.0983,1.8411,2.0848,2907896,0
DVL,D,20071123,000000,2.1321,2.1592,2.0374,2.0578,3377750,0
DVL,D,20071126,000000,2.0983,2.112,1.9494,1.9968,1371617,0
DVL,D,20071127,000000,1.9292,2.0646,1.9224,2.0171,1594505,0
DVL,D,20071128,000000,2.0442,2.1321,2.0171,2.0916,1235890,0
DVL,D,20071129,000000,2.1321,2.1592,2.0646,2.078,1129084,0
DVL,D,20071130,000000,2.0916,2.2066,2.0916,2.1458,1157839,0
DVL,D,20071203,000000,2.1592,2.1592,2.0983,2.1389,588582,0
DVL,D,20071204,000000,2.1321,2.1525,2.0983,2.1458,792519,0
DVL,D,20071205,000000,2.1525,2.2744,2.1525,2.2675,1213664,0
DVL,D,20071206,000000,2.2744,2.3014,2.1999,2.2202,870202,0
DVL,D,20071207,000000,2.2202,2.2675,2.2066,2.2338,374035,0
DVL,D,20071210,000000,2.1999,2.2405,2.1729,2.2066,307264,0
DVL,D,20071211,000000,2.2134,2.2134,2.112,2.1525,697274,0
DVL,D,20071212,000000,2.0983,2.1389,2.078,2.1187,1620807,0
DVL,D,20071213,000000,2.0983,2.0983,2.0306,2.0578,958253,0
DVL,D,20071214,000000,2.0578,2.0848,2.0036,2.0306,660582,0
DVL,D,20071217,000000,2.0171,2.0171,1.9292,1.9292,1370488,0
DVL,D,20071218,000000,1.9022,2.0171,1.7939,2.0036,5081294,0
DVL,D,20071219,000000,2.0306,2.0306,1.9426,1.99,1329390,0
