<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG,D,20131205,000000,18.144,18.54,17.789,18.343,4674373,0
NWG,D,20131206,000000,18.343,18.343,17.591,18.066,626695,0
NWG,D,20131209,000000,18.186,18.186,17.964,18.027,321095,0
NWG,D,20131210,000000,17.979,17.979,17.591,17.639,178944,0
NWG,D,20131211,000000,17.568,17.639,17.047,17.394,141803,0
NWG,D,20131212,000000,17.236,17.315,16.919,17.047,175004,0
NWG,D,20131213,000000,16.999,17.379,16.999,17.094,45169,0
NWG,D,20131216,000000,17.379,17.379,17.171,17.315,40774,0
NWG,D,20131217,000000,17.315,17.315,16.769,16.999,79823,0
NWG,D,20131218,000000,16.84,17.315,16.84,17.078,21158,0
NWG,D,20131219,000000,17.315,17.379,16.692,16.73,69054,0
NWG,D,20131220,000000,16.769,16.84,16.627,16.769,61929,0
NWG,D,20131223,000000,16.871,17.315,16.871,17.157,20081,0
NWG,D,20131227,000000,17.157,17.3,16.999,17.3,24562,0
NWG,D,20131230,000000,17.244,17.346,17.101,17.213,22508,0
NWG,D,20140102,000000,17.315,17.387,17.236,17.236,86512,0
NWG,D,20140103,000000,17.236,17.315,17.094,17.259,13240,0
NWG,D,20140107,000000,17.315,17.315,17.039,17.157,80374,0
NWG,D,20140108,000000,17.22,17.22,16.802,16.919,26445,0
NWG,D,20140109,000000,16.826,16.84,16.13,16.248,53163,0
NWG,D,20140110,000000,16.248,16.84,16.168,16.84,120663,0
NWG,D,20140113,000000,16.999,17.078,16.761,17.078,135369,0
NWG,D,20140114,000000,17.062,17.062,16.84,16.895,71152,0
NWG,D,20140115,000000,16.999,16.999,16.871,16.871,91419,0
NWG,D,20140116,000000,16.871,16.999,16.761,16.848,6102,0
NWG,D,20140117,000000,16.88,16.999,16.769,16.928,89861,0
NWG,D,20140120,000000,17.157,17.356,16.967,17.213,16312,0
NWG,D,20140121,000000,17.315,17.394,17.094,17.157,51071,0
NWG,D,20140122,000000,17.157,17.227,17.094,17.126,171158,0
NWG,D,20140123,000000,17.078,17.157,17.023,17.14,19727,0
NWG,D,20140124,000000,17.117,17.117,16.919,16.936,7547,0
NWG,D,20140127,000000,16.88,16.982,16.88,16.919,26094,0
NWG,D,20140128,000000,16.919,17.054,16.88,16.999,18658,0
NWG,D,20140129,000000,17.054,17.37,17.006,17.015,112123,0
NWG,D,20140130,000000,16.999,17.078,16.895,17.078,9649,0
NWG,D,20140131,000000,17.078,17.149,16.761,17.078,64871,0
NWG,D,20140203,000000,17.078,17.078,16.692,16.936,16071,0
NWG,D,20140204,000000,16.761,16.936,16.697,16.919,18557,0
NWG,D,20140205,000000,16.88,17.078,16.848,17.015,48880,0
NWG,D,20140206,000000,16.857,17.023,16.857,16.936,180012,0
NWG,D,20140207,000000,16.999,16.999,16.761,16.905,140231,0
NWG,D,20140210,000000,16.777,16.88,16.421,16.753,114065,0
NWG,D,20140211,000000,16.603,16.761,16.525,16.706,14757,0
NWG,D,20140212,000000,16.635,16.706,16.54,16.643,54281,0
NWG,D,20140213,000000,16.603,16.721,16.603,16.611,37201,0
NWG,D,20140214,000000,16.643,16.808,16.572,16.808,11730,0
NWG,D,20140217,000000,16.706,16.905,16.682,16.785,81294,0
NWG,D,20140218,000000,16.895,16.905,16.682,16.826,30385,0
NWG,D,20140219,000000,16.761,17.315,16.761,17.006,24962,0
NWG,D,20140220,000000,16.912,16.999,16.611,16.792,89212,0
NWG,D,20140221,000000,16.84,16.848,16.548,16.777,133566,0
NWG,D,20140224,000000,16.802,16.871,16.682,16.769,15183,0
NWG,D,20140225,000000,16.769,16.802,16.421,16.445,223908,0
NWG,D,20140226,000000,16.445,16.445,15.732,15.732,183737,0
NWG,D,20140227,000000,15.732,15.955,15.656,15.732,118060,0
NWG,D,20140228,000000,15.656,15.732,15.211,15.401,52779,0
NWG,D,20140303,000000,15.172,15.181,14.627,14.714,45482,0
NWG,D,20140304,000000,14.643,15.14,14.643,15.022,39602,0
NWG,D,20140305,000000,15.022,15.061,14.943,15.006,12140,0
NWG,D,20140306,000000,15.015,15.061,14.793,14.793,10553,0
NWG,D,20140307,000000,14.801,14.935,14.786,14.793,110775,0
NWG,D,20140310,000000,14.776,14.825,14.421,14.453,10104,0
NWG,D,20140311,000000,14.437,14.746,14.43,14.69,141542,0
NWG,D,20140312,000000,14.706,14.863,14.421,14.477,9356,0
NWG,D,20140313,000000,14.46,14.627,14.46,14.548,12725,0
NWG,D,20140314,000000,14.46,14.46,13.844,14.287,28853,0
NWG,D,20140317,000000,14.319,14.413,14.112,14.389,18645,0
NWG,D,20140318,000000,14.389,14.407,14.151,14.31,10624,0
NWG,D,20140319,000000,14.232,14.413,14.232,14.31,7909,0
NWG,D,20140320,000000,14.192,14.373,14.192,14.373,1624,0
NWG,D,20140321,000000,14.35,14.526,14.31,14.526,5634,0
NWG,D,20140324,000000,14.548,15.251,14.548,15.251,154702,0
NWG,D,20140325,000000,15.251,16.002,15.251,15.971,27073,0
NWG,D,20140326,000000,15.908,16.208,15.804,16.01,30806,0
NWG,D,20140327,000000,15.812,16.002,15.804,15.812,7406,0
NWG,D,20140328,000000,15.812,16.002,15.812,15.971,49081,0
NWG,D,20140331,000000,15.978,16.107,15.418,15.418,34359,0
NWG,D,20140401,000000,15.687,15.922,15.656,15.732,30970,0
NWG,D,20140402,000000,15.852,15.892,15.433,15.892,42545,0
NWG,D,20140403,000000,15.608,16.224,15.591,16.208,63803,0
NWG,D,20140404,000000,16.208,16.208,16.13,16.208,43066,0
NWG,D,20140407,000000,16.184,16.184,16.058,16.13,33468,0
NWG,D,20140408,000000,16.13,16.248,16.13,16.168,30299,0
NWG,D,20140409,000000,16.13,16.16,16.13,16.13,17523,0
NWG,D,20140410,000000,16.13,16.168,16.13,16.13,6311,0
NWG,D,20140411,000000,16.042,16.145,15.995,16.13,5558,0
NWG,D,20140414,000000,16.121,16.121,15.622,16.01,62587,0
NWG,D,20140415,000000,16.05,16.05,15.812,15.868,3705,0
NWG,D,20140416,000000,15.812,15.812,15.742,15.812,32321,0
NWG,D,20140417,000000,15.812,15.812,15.679,15.804,1066,0
NWG,D,20140422,000000,15.774,15.812,15.718,15.718,25368,0
NWG,D,20140423,000000,15.726,15.742,15.726,15.732,37581,0
NWG,D,20140424,000000,15.732,15.732,15.583,15.709,30548,0
NWG,D,20140425,000000,15.433,15.709,15.433,15.457,8645,0
NWG,D,20140428,000000,15.442,15.662,15.418,15.536,37193,0
NWG,D,20140429,000000,15.418,15.639,15.361,15.418,31949,0
NWG,D,20140430,000000,15.267,15.418,15.109,15.41,21059,0
NWG,D,20140502,000000,15.418,15.418,15.338,15.338,318,0
NWG,D,20140505,000000,15.338,15.338,14.943,15.133,4740,0
NWG,D,20140506,000000,15.101,15.101,14.863,14.887,2977,0
NWG,D,20140507,000000,14.863,14.887,14.287,14.627,36451,0
NWG,D,20140508,000000,14.627,14.863,14.627,14.706,35177,0
NWG,D,20140509,000000,14.706,14.706,14.596,14.659,62987,0
NWG,D,20140512,000000,14.627,14.627,14.389,14.47,211996,0
NWG,D,20140513,000000,14.47,14.69,14.151,14.555,18748,0
NWG,D,20140514,000000,14.437,14.548,14.389,14.493,2646,0
NWG,D,20140515,000000,14.548,14.627,14.548,14.548,15230,0
NWG,D,20140516,000000,14.571,14.627,14.239,14.35,1422,0
NWG,D,20140519,000000,14.587,14.596,14.232,14.484,16385,0
NWG,D,20140520,000000,14.596,15.418,14.493,15.41,42937,0
NWG,D,20140521,000000,15.41,16.193,15.133,16.193,47220,0
NWG,D,20140522,000000,16.193,16.445,15.892,15.963,221903,0
NWG,D,20140523,000000,16.438,16.438,15.742,16.089,8701,0
NWG,D,20140526,000000,16.13,16.13,15.922,15.947,78511,0
NWG,D,20140527,000000,15.922,15.94,15.86,15.932,114300,0
NWG,D,20140528,000000,15.812,15.812,15.457,15.774,5122,0
NWG,D,20140529,000000,15.576,15.687,15.425,15.599,1501,0
NWG,D,20140530,000000,15.425,15.892,15.425,15.812,65021,0
NWG,D,20140602,000000,15.616,15.812,15.616,15.732,593,0
NWG,D,20140603,000000,15.703,15.732,15.457,15.718,1194,0
NWG,D,20140604,000000,15.726,15.726,15.457,15.457,2165,0
NWG,D,20140605,000000,15.457,15.812,15.457,15.812,23898,0
NWG,D,20140606,000000,15.892,15.892,15.709,15.812,4775,0
NWG,D,20140609,000000,15.497,15.916,15.497,15.812,4487,0
NWG,D,20140610,000000,15.812,16.248,15.608,16.248,42288,0
NWG,D,20140611,000000,16.287,16.374,15.892,16.066,10209,0
NWG,D,20140612,000000,16.066,16.089,15.876,16.05,1936,0
NWG,D,20140613,000000,16.042,16.042,15.876,15.892,889,0
NWG,D,20140616,000000,15.798,15.798,15.418,15.616,3202,0
NWG,D,20140617,000000,15.576,15.646,15.378,15.622,2403,0
NWG,D,20140618,000000,15.418,15.646,15.418,15.616,10680,0
NWG,D,20140620,000000,15.433,15.616,15.433,15.576,662,0
NWG,D,20140623,000000,15.616,15.616,15.457,15.481,2235,0
NWG,D,20140624,000000,15.466,15.536,15.315,15.315,1885,0
NWG,D,20140625,000000,15.299,15.307,15.267,15.299,2959,0
NWG,D,20140626,000000,15.181,15.378,14.872,14.905,4745,0
NWG,D,20140627,000000,14.881,15.181,14.872,14.959,1715,0
